Date,GameID,TeamID
2017-01-21,10689,1013
2017-01-26,10828,1013
2017-01-29,11035,1013
2017-01-05,11193,1013
2017-01-07,11268,1013
2017-02-11,11510,1013
2017-02-16,11819,1013
2017-02-18,11967,1013
2017-02-02,12033,1013
2017-02-23,12151,1013
2017-02-08,12518,1013
2017-03-11,12681,1013
2017-03-04,12788,1013
2017-03-09,12987,1013
2017-02-04,12413,1013
2017-01-01,10018,1338
2017-01-12,10161,1338
2017-01-14,10310,1338
2017-01-07,11332,1338
2017-02-23,12167,1338
2017-02-04,12444,1338
2017-02-09,12619,1338
2017-03-04,12876,1338
2017-03-08,12982,1338
2017-01-21,10684,1338
2017-01-26,10847,1338
2017-01-28,11029,1338
2017-01-05,11249,1338
2017-02-11,11630,1338
2017-02-16,11804,1338
2017-02-18,11921,1338
2017-02-02,12046,1338
2017-03-02,12749,1338
2017-03-09,13017,1338
2017-01-01,10019,1340
2017-01-12,10163,1340
2017-01-18,10433,1340
2017-01-21,10693,1340
2017-01-28,11019,1340
2017-01-07,11269,1340
2017-02-11,11635,1340
2017-02-23,12160,1340
2017-02-09,12622,1340
2017-03-02,12752,1340
2017-03-04,12881,1340
2017-01-14,10314,1340
2017-01-26,10874,1340
2017-01-05,11193,1340
2017-02-16,11801,1340
2017-02-19,11994,1340
2017-02-02,12004,1340
2017-02-04,12437,1340
2017-03-09,13037,1340
2017-01-01,10020,1356
2017-01-21,10694,1356
2017-01-29,11036,1356
2017-01-04,11188,1356
2017-02-18,11968,1356
2017-02-26,12245,1356
2017-01-12,10158,1356
2017-01-14,10188,1356
2017-01-18,10433,1356
2017-01-26,10828,1356
2017-01-07,11388,1356
2017-02-01,11493,1356
2017-02-12,11652,1356
2017-02-16,11819,1356
2017-02-04,12454,1356
2017-02-09,12622,1356
2017-03-01,12656,1356
2017-03-04,12880,1356
2017-03-08,12958,1356
2017-01-01,10021,1364
2017-01-11,10101,1364
2017-01-17,10378,1364
2017-01-21,10697,1364
2017-01-24,10766,1364
2017-01-29,11037,1364
2017-01-04,11190,1364
2017-01-08,11414,1364
2017-02-01,11451,1364
2017-02-12,11656,1364
2017-02-15,11760,1364
2017-02-18,11972,1364
2017-02-21,12100,1364
2017-02-04,12458,1364
2017-02-09,12626,1364
2017-03-03,12782,1364
2017-03-04,12891,1364
2017-03-05,12903,1364
2017-01-14,10225,1364
2017-01-10,10022,1090
2017-01-14,10216,1090
2017-01-25,10801,1090
2017-01-28,10978,1090
2017-01-03,11059,1090
2017-01-07,11299,1090
2017-02-11,11537,1090
2017-02-14,11693,1090
2017-02-18,11906,1090
2017-02-02,12017,1090
2017-02-21,12080,1090
2017-02-04,12352,1090
2017-02-07,12494,1090
2017-03-01,12636,1090
2017-01-18,10427,1090
2017-01-21,10592,1090
2017-03-04,12884,1090
2017-01-10,10023,1180
2017-01-14,10252,1180
2017-01-25,10806,1180
2017-01-07,11331,1180
2017-02-04,12393,1180
2017-03-04,12832,1180
2017-03-08,12964,1180
2017-01-17,10386,1180
2017-01-21,10678,1180
2017-01-28,10891,1180
2017-01-03,11067,1180
2017-01-31,11122,1180
2017-02-11,11579,1180
2017-02-14,11702,1180
2017-02-18,11906,1180
2017-02-21,12089,1180
2017-02-28,12298,1180
2017-02-07,12488,1180
2017-03-09,12986,1180
2017-01-10,10024,1024
2017-01-14,10185,1024
2017-01-17,10373,1024
2017-01-24,10746,1024
2017-01-28,10897,1024
2017-01-31,11107,1024
2017-02-14,11710,1024
2017-02-18,11856,1024
2017-02-21,12071,1024
2017-02-28,12299,1024
2017-03-03,12756,1024
2017-03-09,12988,1024
2017-01-21,10569,1024
2017-01-03,11063,1024
2017-01-07,11272,1024
2017-02-10,11495,1024
2017-02-03,12300,1024
2017-02-07,12486,1024
2017-01-10,10025,1082
2017-01-14,10267,1082
2017-01-17,10377,1082
2017-01-28,10955,1082
2017-01-03,11058,1082
2017-02-28,12280,1082
2017-03-06,12919,1082
2017-01-20,10548,1082
2017-01-24,10746,1082
2017-01-31,11114,1082
2017-01-07,11295,1082
2017-02-10,11499,1082
2017-02-14,11699,1082
2017-02-18,11971,1082
2017-02-21,12071,1082
2017-02-04,12408,1082
2017-02-07,12514,1082
2017-03-03,12762,1082
2017-03-09,12985,1082
2017-01-10,10026,1225
2017-01-21,10644,1225
2017-01-28,10898,1225
2017-01-03,11068,1225
2017-01-06,11263,1225
2017-02-10,11495,1225
2017-02-14,11699,1225
2017-02-18,11925,1225
2017-02-21,12088,1225
2017-02-04,12411,1225
2017-03-03,12769,1225
2017-03-09,13027,1225
2017-01-14,10267,1225
2017-01-17,10372,1225
2017-01-24,10757,1225
2017-01-31,11135,1225
2017-02-28,12292,1225
2017-02-07,12507,1225
2017-01-10,10027,1002
2017-01-14,10248,1002
2017-01-17,10372,1002
2017-01-20,10548,1002
2017-01-24,10765,1002
2017-01-28,10890,1002
