Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-2-11	Gonzaga	74	Saint Mary's (CA)	64	
2017-2-11	Sam Houston State	72	Incarnate Word	63	
2017-2-11	Pepperdine	65	San Diego	60	
2017-2-11	BYU	68	San Francisco	52	
2017-2-11	South Dakota	91	South Dakota State	89	
2017-2-11	South Florida	64	East Carolina	57	
2017-2-11	New Orleans	60	Southeastern Louisiana	52	
2017-2-11	Oregon	81	USC	70	
2017-2-11	Evansville	75	Southern Illinois	70	
2017-2-11	UT-Martin	80	Southern Illinois-Edwardsville	73	
2017-2-11	Montana State	83	Southern Utah	78	
2017-2-11	St. John's (NY)	78	Seton Hall	70	
2017-2-11	Lipscomb	97	Stetson	85	
2017-2-11	Georgia	76	Tennessee	75	
2017-2-11	Tennessee Tech	83	Belmont	70	
2017-2-11	Texas-Arlington	81	Arkansas State	75	
2017-2-11	UTEP	80	Southern Miss	50	
2017-2-11	Louisiana Tech	72	UTSA	66	
2017-2-11	Texas State	56	Arkansas-Little Rock	49	
2017-2-11	Kansas	80	Texas Tech	79	
2017-2-11	Toledo	78	Kent State	58	
2017-2-11	Houston	73	Tulsa	64	
2017-2-11	Utah	85	Washington	61	
2017-2-11	Utah State	81	Wyoming	74	
2017-2-11	Valparaiso	82	Youngstown State	72	
2017-2-11	VCU	74	Davidson	60	
2017-2-11	Virginia Military Institute	101	Citadel	78	
2017-2-11	Wake Forest	88	North Carolina State	58	
2017-2-11	West Virginia	85	Kansas State	66	
2017-2-11	North Carolina-Greensboro	76	Western Carolina	68	
2017-2-11	Marshall	84	Western Kentucky	79	
2017-2-11	Western Michigan	76	Northern Illinois	67	
2017-2-11	William & Mary	89	College of Charleston	79	
2017-2-11	Winthrop	77	Gardner-Webb	71	
2017-2-11	Chattanooga	73	Wofford	65	
2017-2-11	Wright State	88	Green Bay	79	
2017-2-11	Villanova	73	Xavier	57	
2017-2-11	Harvard	75	Yale	67	
2017-2-12	New Hampshire	63	Binghamton	55	
2017-2-12	Colorado	81	Washington State	49	
2017-2-12	Hartford	87	UMass-Lowell	84	
2017-2-12	Holy Cross	61	Lehigh	45	
2017-2-12	Michigan	75	Indiana	63	
2017-2-12	Wichita State	81	Loyola (IL)	64	
2017-2-12	St. Peter's	69	Manhattan	50	
2017-2-12	Vermont	77	UMBC	74	
2017-2-12	Temple	74	Memphis	62	
2017-2-12	Northern Iowa	55	Missouri State	52	
2017-2-12	Iona	90	Niagara	76	
2017-2-12	Penn	82	Cornell	63	
2017-2-12	San Diego State	70	Nevada	56	
2017-2-12	SMU	60	Cincinnati	51	
2017-2-12	Stony Brook	67	Maine	66	
2017-2-12	UCLA	78	Oregon State	60	
2017-2-12	Virginia Tech	80	Virginia	78	
2017-2-12	Northwestern	66	Wisconsin	59	
2017-2-13	Appalachian State	83	Georgia Southern	78	
2017-2-13	Alcorn State	70	Arkansas-Pine Bluff	58	
2017-2-13	Bucknell	75	Colgate	58	
2017-2-13	Coastal Carolina	65	Georgia State	64	
2017-2-13	Coppin State	83	Delaware State	75	
2017-2-13	Villanova	75	DePaul	62	
2017-2-13	Fairfield	69	Rider	67	
2017-2-13	Grambling	61	Prairie View	58	
2017-2-13	Howard	70	Morgan State	67	
2017-2-13	Jackson State	71	Texas Southern	62	
2017-2-13	Kansas	84	West Virginia	80	
2017-2-13	Louisiana-Lafayette	87	South Alabama	61	
2017-2-13	Troy	73	Louisiana-Monroe	72	
2017-2-13	Maryland-Eastern Shore	82	Bethune-Cookman	81	
2017-2-13	Southern	81	Mississippi Valley State	72	
2017-2-13	South Carolina State	72	North Carolina A&T;	65	
2017-2-13	North Carolina Central	78	Florida A&M;	73	
2017-2-13	Monmouth	102	Siena	82	
2017-2-13	Louisville	76	Syracuse	72	
2017-2-13	Texas-Arlington	71	Arkansas-Little Rock	55	
2017-2-13	Texas State	62	Arkansas State	58	
2017-2-13	Texas Tech	84	Baylor	78	
2017-2-13	Furman	80	Virginia Military Institute	52	
2017-2-14	Akron	71	Toledo	65	
2017-2-14	Florida	114	Auburn	95	
2017-2-14	Notre Dame	84	Boston College	76	
2017-2-14	Canisius	89	Iona	83	
2017-2-14	UCF	71	Tulsa	53	
2017-2-14	Buffalo	99	Central Michigan	93	
2017-2-14	Clemson	95	Wake Forest	83	
2017-2-14	Ohio	79	Eastern Michigan	71	
2017-2-14	Evansville	87	Drake	70	
2017-2-14	George Mason	93	Richmond	70	
2017-2-14	Georgia	79	Mississippi State	72	
2017-2-14	Kent State	76	Miami (OH)	72	
2017-2-14	Kentucky	83	Tennessee	58	
2017-2-14	Liberty	55	High Point	52	
2017-2-14	Michigan State	74	Ohio State	66	
2017-2-14	Ole Miss	96	LSU	76	
2017-2-14	Nebraska	82	Penn State	66	
2017-2-14	New Mexico	78	Boise State	73	
2017-2-14	Ball State	81	Northern Illinois	72	
2017-2-14	Oklahoma	70	Texas	66	
2017-2-14	Virginia Tech	66	Pitt	63	
2017-2-14	Purdue	74	Rutgers	55	
2017-2-14	Dayton	85	Saint Louis	63	
2017-2-14	St. Peter's	71	Marist	46	
2017-2-14	VCU	91	St. Joseph's	81	
2017-2-14	Denver	78	Western Illinois	72	
2017-2-14	Western Michigan	89	Bowling Green State	79	
2017-2-14	Colorado State	78	Wyoming	73	
2017-2-15	Nevada	78	Air Force	59	
2017-2-15	Albany (NY)	78	UMBC	69	
2017-2-15	Butler	110	St. John's (NY)	86	
2017-2-15	Cal Poly	85	Cal State Northridge	71	
2017-2-15	Charleston Southern	72	Campbell	69	
2017-2-15	Boston University	69	Colgate	68	
2017-2-15	Davidson	74	George Washington	63	
2017-2-15	Duquesne	96	UMass	66	
2017-2-15	East Carolina	78	Temple	64	
2017-2-15	ETSU	79	Samford	77	
2017-2-15	Fresno State	77	San Jose State	59	
2017-2-15	Gardner-Webb	70	Radford	59	
2017-2-15	Stony Brook	66	Hartford	54	
2017-2-15	Army	52	Holy Cross	47	
2017-2-15	Texas A&M-Corpus; Christi	97	Incarnate Word	81	
2017-2-15	IPFW	77	North Dakota State	61	
2017-2-15	Iowa State	87	Kansas State	79	
2017-2-15	Lafayette	78	American	65	
2017-2-15	Lehigh	74	Navy	55	
2017-2-15	Winthrop	83	Longwood	63	
2017-2-15	Loyola (IL)	64	Indiana State	46	
2017-2-15	Loyola (MD)	78	Bucknell	77	
2017-2-15	Vermont	87	UMass-Lowell	66	
2017-2-15	Miami (FL)	70	Georgia Tech	61	
2017-2-15	Minnesota	75	Indiana	74	
2017-2-15	Alabama	57	Missouri	54	
2017-2-15	Illinois State	67	Missouri State	66	
2017-2-15	New Hampshire	64	Maine	51	
2017-2-15	Norfolk State	81	South Carolina State	70	
2017-2-15	North Carolina-Asheville	89	Presbyterian	48	
2017-2-15	North Carolina-Greensboro	74	Wofford	55	
2017-2-15	UNC	97	North Carolina State	73	
2017-2-15	Northern Iowa	64	Bradley	61	
2017-2-15	Maryland	74	Northwestern	64	
2017-2-15	Providence	75	Xavier	63	
2017-2-15	Fordham	53	Rhode Island	43	
2017-2-15	Seton Hall	87	Creighton	81	
2017-2-15	Arkansas	83	South Carolina	76	
2017-2-15	South Dakota State	81	IUPUI	67	
2017-2-15	Cincinnati	68	South Florida	54	
2017-2-15	Wichita State	87	Southern Illinois	68	
2017-2-15	SMU	80	Tulane	75	
2017-2-15	St. Bonaventure	83	La Salle	65	
2017-2-15	LIU-Brooklyn	82	St. Francis (NY)	45	
2017-2-15	Oklahoma State	71	Texas Christian	68	
2017-2-15	San Diego State	66	Utah State	62	
2017-2-15	Duke	65	Virginia	55	
2017-2-15	Chattanooga	74	Virginia Military Institute	68	
2017-2-15	Furman	74	Western Carolina	62	
2017-2-16	Austin Peay	85	Eastern Illinois	80	
2017-2-16	Belmont	76	Eastern Kentucky	72	
2017-2-16	BYU	82	San Diego	70	
2017-2-16	Bryant	81	Robert Morris	73	
2017-2-16	Cal State Fullerton	56	UC-Riverside	55	
2017-2-16	UCSB	56	Hawaii	54	
