Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-2-4	Manhattan	68	Marist	67	
2017-2-4	Purdue	73	Maryland	72	
2017-2-4	Maryland-Eastern Shore	78	Coppin State	57	
2017-2-4	UMass-Lowell	60	Binghamton	59	
2017-2-4	Wofford	65	Mercer	62	
2017-2-4	Kent State	66	Miami (OH)	62	
2017-2-4	Ohio State	70	Michigan	66	
2017-2-4	UIC	105	Milwaukee	100	
2017-2-4	Mississippi State	64	Tennessee	59	
2017-2-4	Missouri	83	Arkansas	78	
2017-2-4	Montana	90	Montana State	84	
2017-2-4	North Carolina Central	68	Morgan State	62	
2017-2-4	Central Connecticut	54	Mount St. Mary's	52	
2017-2-4	Colorado State	69	UNLV	49	
2017-2-4	San Jose State	78	New Mexico	68	
2017-2-4	New Mexico State	86	Chicago State	51	
2017-2-4	New Orleans	78	Nicholls State	69	
2017-2-4	Miami (FL)	84	North Carolina State	79	
2017-2-4	North Carolina-Wilmington	108	Delaware	80	
2017-2-4	North Dakota	87	Northern Colorado	77	
2017-2-4	South Dakota	76	North Dakota State	66	
2017-2-4	North Florida	96	Stetson	64	
2017-2-4	Rice	95	North Texas	80	
2017-2-4	Northern Illinois	81	Eastern Michigan	69	
2017-2-4	Northern Iowa	65	Indiana State	60	
2017-2-4	Stephen F. Austin	75	Northwestern State	73	
2017-2-4	Ohio	85	Akron	70	
2017-2-4	Florida Atlantic	65	Old Dominion	61	
2017-2-4	Oregon	85	Arizona	58	
2017-2-4	Arizona State	81	Oregon State	68	
2017-2-4	Rutgers	70	Penn State	68	
2017-2-4	Pepperdine	82	Pacific	72	
2017-2-4	Quinnipiac	89	Niagara	81	
2017-2-4	Richmond	84	George Washington	75	
2017-2-4	Sacred Heart	73	Bryant	70	
2017-2-4	Fordham	86	St. Joseph's	83	
2017-2-4	Saint Louis	78	North Carolina A&T;	59	
2017-2-4	North Carolina-Greensboro	81	Samford	75	
2017-2-4	Saint Mary's (CA)	71	San Diego	27	
2017-2-4	San Francisco	74	Loyola Marymount	64	
2017-2-4	Hampton	92	Savannah State	89	
2017-2-4	Seattle	63	Utah Valley	50	
2017-2-4	Canisius	80	Siena	73	
2017-2-4	South Carolina	77	Georgia	75	
2017-2-4	Norfolk State	65	South Carolina State	62	
