Date	Team	Player	IsStarter	MP	FG	FGA	FGpct	2P	2PA	2Ppct	3P	3PA	3Ppct	FT	FTA	FTpct	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
2017-02-04	Alabama State	Marquis Cunningham	Reserve	5	0	1	.000	0	1	.000	0	0		0	0		2	0	2	0	0	0	0	1	0	
2017-02-04	Alabama State	David Tillman	Reserve	3	0	0		0	0		0	0		0	0		0	0	0	0	0	0	2	2	0	
2017-02-04	Arkansas-Pine Bluff	Torloft Thomas	Starter	33	3	8	.375	0	1	.000	3	7	.429	6	8	.750	0	3	3	1	2	0	3	0	15	
2017-02-04	Arkansas-Pine Bluff	Reginald Gee	Starter	32	4	8	.500	1	3	.333	3	5	.600	9	12	.750	1	3	4	1	0	0	4	3	20	
2017-02-04	Arkansas-Pine Bluff	Mikel Tyson	Starter	29	3	4	.750	3	4	.750	0	0		1	4	.250	3	2	5	1	2	1	0	3	7	
2017-02-04	Arkansas-Pine Bluff	Rodney Simeon	Starter	17	2	9	.222	1	2	.500	1	7	.143	2	2	1.000	1	3	4	2	1	0	1	2	7	
2017-02-04	Arkansas-Pine Bluff	Amir Warnock	Starter	16	1	1	1.000	1	1	1.000	0	0		1	2	.500	0	4	4	0	0	1	1	1	3	
2017-02-04	Arkansas-Pine Bluff	Terrance LeFlore	Reserve	26	0	4	.000	0	2	.000	0	2	.000	0	1	.000	1	3	4	6	2	0	1	0	0	
2017-02-04	Arkansas-Pine Bluff	Tony Armstrong	Reserve	25	6	7	.857	6	7	.857	0	0		5	8	.625	2	7	9	2	0	0	0	2	17	
2017-02-04	Arkansas-Pine Bluff	Corvon Butler	Reserve	11	4	6	.667	4	5	.800	0	1	.000	0	0		0	1	1	0	1	0	1	0	8	
2017-02-04	Arkansas-Pine Bluff	Glenn Hollaway	Reserve	8	0	0		0	0		0	0		0	0		0	0	0	1	0	0	0	1	0	
2017-02-04	Arkansas-Pine Bluff	Artis Cleveland	Reserve	3	0	0		0	0		0	0		0	0		1	1	2	0	0	0	0	1	0	
2017-02-04	Alabama	Mustapha Heron	Starter	31	3	8	.375	2	6	.333	1	2	.500	6	6	1.000	0	2	2	0	2	0	0	2	13	
2017-02-04	Alabama	Danjel Purifoy	Starter	27	4	7	.571	0	0		4	7	.571	2	2	1.000	0	4	4	2	2	0	4	1	14	
2017-02-04	Alabama	T.J. Dunans	Starter	26	2	8	.250	2	5	.400	0	3	.000	0	0		1	0	1	3	1	1	1	2	4	
2017-02-04	Alabama	Jared Harper	Starter	20	4	8	.500	2	5	.400	2	3	.667	4	6	.667	1	0	1	1	0	0	3	2	14	
2017-02-04	Alabama	Austin Wiley	Starter	15	1	2	.500	1	2	.500	0	0		0	2	.000	1	1	2	0	0	0	2	4	2	
2017-02-04	Alabama	Bryce Brown	Reserve	23	4	5	.800	0	0		4	5	.800	0	0		0	0	0	3	0	0	0	3	12	
2017-02-04	Alabama	Ronnie Johnson	Reserve	21	6	11	.545	3	5	.600	3	6	.500	0	1	.000	0	2	2	3	2	0	3	0	15	
2017-02-04	Alabama	Anfernee McLemore	Reserve	19	1	1	1.000	1	1	1.000	0	0		1	5	.200	2	6	8	0	0	2	1	4	3	
2017-02-04	Alabama	TJ Lang	Reserve	13	2	2	1.000	1	1	1.000	1	1	1.000	0	0		0	1	1	0	1	0	0	2	5	
2017-02-04	Alabama	LaRon Smith	Reserve	5	0	1	.000	0	1	.000	0	0		0	0		0	0	0	0	0	0	0	1	0	
2017-02-04	Auburn	Braxton Key	Starter	37	4	12	.333	3	7	.429	1	5	.200	8	11	.727	3	4	7	4	0	2	3	4	17	
2017-02-04	Auburn	Riley Norris	Starter	31	4	15	.267	3	5	.600	1	10	.100	0	0		1	1	2	0	3	0	2	4	9	
2017-02-04	Auburn	Dazon Ingram	Starter	28	6	9	.667	5	8	.625	1	1	1.000	3	6	.500	2	3	5	4	5	0	5	4	16	
2017-02-04	Auburn	Jimmie Taylor	Starter	18	3	3	1.000	3	3	1.000	0	0		0	3	.000	3	3	6	0	0	0	2	4	6	
2017-02-04	Auburn	Bola Olaniyan	Starter	14	1	3	.333	1	3	.333	0	0		0	0		4	4	8	0	0	0	1	2	2	
2017-02-04	Auburn	Corban Collins	Reserve	31	6	13	.462	3	3	1.000	3	10	.300	2	2	1.000	1	3	4	2	1	0	0	1	17	
2017-02-04	Auburn	Donta Hall	Reserve	20	1	1	1.000	1	1	1.000	0	0		0	0		2	5	7	0	0	1	1	0	2	
2017-02-04	Auburn	Avery Johnson Jr.	Reserve	15	2	6	.333	1	3	.333	1	3	.333	0	0		1	0	1	0	0	0	1	0	5	
2017-02-04	Auburn	Ar'Mond Davis	Reserve	6	1	3	.333	0	0		1	3	.333	0	0		0	3	3	0	0	0	0	1	3	
