Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-1-14	Indiana State	81	Bradley	71	
2017-1-14	James Madison	60	Elon	59	
2017-1-14	Kansas	87	Oklahoma State	80	
2017-1-14	Baylor	77	Kansas State	68	
2017-1-14	Kennesaw State	84	Stetson	65	
2017-1-14	Kentucky	92	Auburn	72	
2017-1-14	Navy	88	Lafayette	51	
2017-1-14	Lehigh	68	Holy Cross	51	
2017-1-14	Florida Gulf Coast	84	Lipscomb	80	
2017-1-14	LIU-Brooklyn	63	St. Francis (NY)	58	
2017-1-14	Gardner-Webb	85	Longwood	79	
2017-1-14	Georgia Southern	81	Louisiana-Lafayette	76	
2017-1-14	Georgia State	73	Louisiana-Monroe	65	
2017-1-14	Alabama	81	LSU	66	
2017-1-14	Louisville	78	Duke	69	
2017-1-14	Stony Brook	74	Maine	54	
2017-1-14	Marquette	83	DePaul	58	
2017-1-14	Howard	72	Maryland-Eastern Shore	64	
2017-1-14	UMass-Lowell	71	Hartford	55	
2017-1-14	Memphis	62	South Florida	56	
2017-1-14	Chattanooga	70	Mercer	68	
2017-1-14	Akron	74	Miami (OH)	70	
2017-1-14	Michigan	91	Nebraska	85	
2017-1-14	Middle Tennessee	91	Western Kentucky	76	
2017-1-14	Wright State	70	Milwaukee	67	
2017-1-14	Mississippi State	67	Texas A&M;	59	
2017-1-14	Montana	76	North Dakota	70	
2017-1-14	Montana State	68	Northern Colorado	53	
2017-1-14	Morehead State	87	Tennessee State	85	
2017-1-14	Mount St. Mary's	78	Saint Francis (PA)	72	
2017-1-14	Nebraska-Omaha	86	Western Illinois	72	
2017-1-14	New Hampshire	73	Binghamton	66	
2017-1-14	New Mexico State	63	Cal State Bakersfield	58	
2017-1-14	Monmouth	90	Niagara	83	
2017-1-14	NJIT	84	North Florida	78	
2017-1-14	North Carolina Central	72	Norfolk State	57	
2017-1-14	UNC	96	Florida State	83	
2017-1-14	North Carolina-Wilmington	84	Hofstra	76	
2017-1-14	Sacramento State	74	Northern Arizona	62	
2017-1-14	Sam Houston State	77	Northwestern State	68	
2017-1-14	Eastern Michigan	53	Ohio	49	
2017-1-14	Oklahoma	84	Texas Tech	75	
2017-1-14	Louisiana Tech	75	Old Dominion	63	
2017-1-14	IUPUI	91	Oral Roberts	85	
2017-1-14	Oregon	85	Oregon State	43	
2017-1-14	Penn State	52	Minnesota	50	
2017-1-14	Brown	82	Penn	70	
2017-1-14	Santa Clara	75	Pepperdine	61	
2017-1-14	Miami (FL)	72	Pitt	46	
2017-1-14	Loyola Marymount	79	Portland	78	
2017-1-14	Prairie View	63	Jackson State	56	
2017-1-14	Princeton	66	Yale	58	
2017-1-14	Providence	65	Seton Hall	61	
2017-1-14	Quinnipiac	97	Iona	91	
2017-1-14	Liberty	71	Radford	64	
2017-1-14	Rice	101	North Texas	79	
2017-1-14	Richmond	70	St. Joseph's	66	
2017-1-14	San Diego	88	BYU	75	
2017-1-14	San Diego State	74	Utah State	55	
2017-1-14	San Francisco	72	Pacific	51	
2017-1-14	Savannah State	93	Florida A&M;	88	
2017-1-14	Seattle	65	Chicago State	50	
2017-1-14	South Alabama	72	Texas State	67	
2017-1-14	South Carolina	67	Ole Miss	56	
2017-1-14	South Carolina State	78	Bethune-Cookman	74	
2017-1-14	South Carolina Upstate	73	Jacksonville	66	
2017-1-14	South Dakota	66	IPFW	63	
2017-1-14	Southern	76	Arkansas-Pine Bluff	75	
2017-1-14	Murray State	67	Southern Illinois-Edwardsville	59	
2017-1-14	Portland State	88	Southern Utah	77	
2017-1-14	St. Bonaventure	73	Fordham	53	
2017-1-14	Villanova	70	St. John's (NY)	57	
2017-1-14	Stanford	76	Washington	69	
2017-1-14	Stephen F. Austin	80	Nicholls State	60	
2017-1-14	Syracuse	76	Boston College	53	
2017-1-14	Tulsa	70	Temple	68	
2017-1-14	UT-Martin	79	Southeast Missouri State	69	
2017-1-14	Jacksonville State	74	Tennessee Tech	59	
2017-1-14	West Virginia	74	Texas	72	
2017-1-14	Texas A&M-Corpus; Christi	88	Central Arkansas	81	
2017-1-14	Texas Christian	84	Iowa State	77	
2017-1-14	UTEP	66	Florida Atlantic	65	
2017-1-14	Grand Canyon	79	Texas-Rio Grande Valley	66	
2017-1-14	UTSA	57	Florida International	55	
2017-1-14	Texas Southern	76	Grambling	55	
2017-1-14	Towson	74	Northeastern	67	
2017-1-14	Troy	93	Texas-Arlington	71	
2017-1-14	UCLA	83	Utah	82	
2017-1-14	Utah Valley	86	UMKC	76	
2017-1-14	Tennessee	87	Vanderbilt	75	
2017-1-14	North Carolina-Greensboro	91	Virginia Military Institute	82	
2017-1-14	Notre Dame	76	Virginia Tech	71	
2017-1-14	Wagner	53	Robert Morris	50	
2017-1-14	Weber State	70	Eastern Washington	67	
2017-1-14	Western Michigan	92	Kent State	88	
2017-1-14	Wofford	67	Furman	58	
2017-1-14	Nevada	89	Wyoming	74	
2017-1-14	UIC	92	Youngstown State	89	
2017-1-15	USC	71	Colorado	68	
2017-1-15	Cincinnati	55	East Carolina	46	
2017-1-15	Siena	63	Fairfield	54	
2017-1-15	Indiana	76	Rutgers	57	
2017-1-15	La Salle	79	George Washington	69	
2017-1-15	Loyola (IL)	77	Missouri State	71	
2017-1-15	Georgia Tech	86	North Carolina State	76	
2017-1-15	Northern Iowa	79	Drake	60	
2017-1-15	Northwestern	89	Iowa	54	
2017-1-15	Ohio State	72	Michigan State	67	
2017-1-15	Rhode Island	79	UMass	77	
2017-1-15	St. Peter's	71	Rider	65	
2017-1-15	Southeastern Louisiana	79	McNeese State	75	
2017-1-15	SMU	80	Tulane	64	
2017-1-16	Alcorn State	82	Arkansas-Pine Bluff	64	
2017-1-16	Harvard	70	Bryant	65	
2017-1-16	Butler	88	Marquette	80	
2017-1-16	Monmouth	76	Canisius	72	
2017-1-16	Norfolk State	75	Delaware State	70	
2017-1-16	Detroit	87	Youngstown State	71	
2017-1-16	Bethune-Cookman	82	Florida A&M;	76	
2017-1-16	Providence	74	Georgetown	56	
2017-1-16	North Carolina Central	64	Hampton	51	
2017-1-16	Hartford	54	Maine	44	
2017-1-16	Coppin State	81	Howard	72	
2017-1-16	Kansas	76	Iowa State	72	
2017-1-16	Georgia State	101	Louisiana-Lafayette	86	
